Year,Month,Pounds,Value
2004.00,1.00,903566.00,4340428.00
2004.00,2.00,547545.00,2967819.00
2004.00,3.00,474441.00,2746730.00
2004.00,4.00,1068740.00,5872445.00
2004.00,5.00,2263452.00,9759087.00
2004.00,6.00,3973277.00,17910345.00
2004.00,7.00,6070070.00,24227118.00
2004.00,8.00,12179748.00,45582113.00
2004.00,9.00,14264507.00,55223263.00
2004.00,10.00,13025419.00,52128139.00
2004.00,11.00,12181848.00,48296469.00
2004.00,12.00,4621631.00,20024891.00
2005.00,1.00,1306644.00,6312857.00
2005.00,2.00,589075.00,3484474.00
2005.00,3.00,455276.00,3043273.00
2005.00,4.00,1075281.00,6314811.00
2005.00,5.00,2410035.00,12271603.00
2005.00,6.00,2743911.00,14784910.00
2005.00,7.00,5397526.00,25950608.00
2005.00,8.00,10076192.00,45399057.00
2005.00,9.00,13126930.00,60234641.00
2005.00,10.00,14698512.00,66218059.00
2005.00,11.00,12608919.00,54550610.00
2005.00,12.00,4241560.00,19383433.00
2006.00,1.00,1240565.00,6016935.00
2006.00,2.00,585547.00,3471521.00
2006.00,3.00,611321.00,3765565.00
2006.00,4.00,897261.00,4745205.00
2006.00,5.00,1816073.00,9627070.00
2006.00,6.00,4270568.00,21703200.00
2006.00,7.00,10928454.00,42353467.00
2006.00,8.00,13535491.00,52818825.00
2006.00,9.00,13416558.00,53720115.00
2006.00,10.00,16224717.00,61637527.00
2006.00,11.00,8652353.00,32678549.00
2006.00,12.00,3166919.00,12901440.00
2007.00,1.00,670872.00,2973631.00
2007.00,2.00,224176.00,1268340.00
2007.00,3.00,182481.00,1403616.00
2007.00,4.00,396476.00,3610445.00
2007.00,5.00,1553274.00,9335086.00
2007.00,6.00,1998351.00,11555531.00
2007.00,7.00,7688718.00,36638726.00
2007.00,8.00,15614615.00,63773787.00
2007.00,9.00,11915731.00,47885224.00
2007.00,10.00,12783395.00,54403607.00
2007.00,11.00,7243425.00,30622582.00
2007.00,12.00,3704445.00,17177844.00
2008.00,1.00,1098736.00,6263649.00
2008.00,2.00,534986.00,3685226.00
2008.00,3.00,409173.00,2946121.00
2008.00,4.00,956907.00,5161347.00
2008.00,5.00,2253509.00,11643458.00
2008.00,6.00,2236889.00,11195230.00
2008.00,7.00,9404003.00,37330116.00
2008.00,8.00,14661596.00,53434921.00
2008.00,9.00,14340012.00,50302474.00
2008.00,10.00,13395581.00,36240533.00
2008.00,11.00,8073456.00,20179785.00
2008.00,12.00,2543657.00,6767165.00
2009.00,1.00,1206768.00,5897609.00
2009.00,2.00,430092.00,2107996.00
2009.00,3.00,355780.00,2224857.00
2009.00,4.00,849123.00,3711814.00
2009.00,5.00,2142314.00,7800036.00
2009.00,6.00,2321065.00,9101050.00
2009.00,7.00,9734875.00,29307438.00
2009.00,8.00,16889829.00,44527403.00
2009.00,9.00,16892449.00,44469355.00
2009.00,10.00,15399962.00,42661794.00
2009.00,11.00,10482863.00,31100673.00
2009.00,12.00,4469517.00,14626865.00
2010.00,1.00,1283629.00,4784279.00
2010.00,2.00,349065.00,1629824.00
2010.00,3.00,372948.00,1729399.00
2010.00,4.00,1141694.00,4783064.00
2010.00,5.00,2535678.00,9814060.00
2010.00,6.00,4783134.00,17832468.00
2010.00,7.00,17566484.00,52669824.00
2010.00,8.00,20318382.00,60316624.00
2010.00,9.00,16544120.00,52159636.00
2010.00,10.00,18301776.00,64434832.00
2010.00,11.00,9944423.00,35987011.00
2010.00,12.00,3067439.00,11911418.00
2011.00,1.00,1199375.00,5452753.00
2011.00,2.00,364138.00,1704196.00
2011.00,3.00,508733.00,2402282.00
2011.00,4.00,879722.00,4434046.00
2011.00,5.00,2427968.00,11331958.00
2011.00,6.00,3526325.00,18615897.00
2011.00,7.00,16645452.00,61836806.00
2011.00,8.00,27292884.00,78500978.00
2011.00,9.00,20369443.00,58163004.00
2011.00,10.00,18224545.00,52936595.00
2011.00,11.00,9735352.00,27480365.00
2011.00,12.00,3750792.00,11680856.00
2012.00,1.00,1349746.00,5359503.00
2012.00,2.00,783866.00,3953093.00
2012.00,3.00,609825.00,3845687.00
2012.00,4.00,1249805.00,6971769.00
2012.00,5.00,2726086.00,13314834.00
2012.00,6.00,9328006.00,29695807.00
2012.00,7.00,26072903.00,56870485.00
2012.00,8.00,25439960.00,56700975.00
2012.00,9.00,22391100.00,62290672.00
2012.00,10.00,19821432.00,54784153.00
2012.00,11.00,13089876.00,36167120.00
2012.00,12.00,4458817.00,12125422.00
2013.00,1.00,1430642.00,5676376.00
2013.00,2.00,577825.00,2789199.00
2013.00,3.00,691316.00,5214834.00
2013.00,4.00,1520736.00,9030134.00
2013.00,5.00,2937813.00,12583657.00
2013.00,6.00,4706678.00,15162052.00
2013.00,7.00,24627366.00,59594909.00
2013.00,8.00,33307648.00,74153593.00
2013.00,9.00,22129219.00,61858103.00
2013.00,10.00,21876357.00,72359656.00
2013.00,11.00,9705685.00,34261696.00
2013.00,12.00,4297151.00,17699774.00
2014.00,1.00,1347145.00,6742062.00
2014.00,2.00,931391.00,5462681.00
2014.00,3.00,801628.00,4859209.00
2014.00,4.00,1288690.00,8624292.00
2014.00,5.00,3181174.00,14370727.00
2014.00,6.00,3490772.00,14004655.00
2014.00,7.00,12608254.00,44683945.00
2014.00,8.00,29441629.00,94482012.00
2014.00,9.00,26514184.00,97038623.00
2014.00,10.00,27197928.00,105173309.00
2014.00,11.00,11915627.00,41359388.00
2014.00,12.00,5607502.00,22707484.00
2015.00,1.00,1385509.00,6609791.00
2015.00,2.00,426769.00,2834734.00
2015.00,3.00,860172.00,7084674.00
2015.00,4.00,1269222.00,10054886.00
2015.00,5.00,2629408.00,14025961.00
2015.00,6.00,3897891.00,18935758.00
2015.00,7.00,14181965.00,58172425.00
2015.00,8.00,28737000.00,108171291.00
2015.00,9.00,24591033.00,95749186.00
2015.00,10.00,21909689.00,88420357.00
2015.00,11.00,15470582.00,63099790.00
2015.00,12.00,7304151.00,29291455.00
2016.00,1.00,2592046.00,11310049.00
2016.00,2.00,1080643.00,6609600.00
2016.00,3.00,974605.00,5292674.00
2016.00,4.00,1737464.00,10940497.00
2016.00,5.00,3276260.00,15957727.00
2016.00,6.00,7614537.00,36878085.00
2016.00,7.00,25079946.00,93574032.00
2016.00,8.00,25028807.00,98682051.00
2016.00,9.00,21429484.00,91052579.00
2016.00,10.00,22687686.00,89077883.00
2016.00,11.00,15636533.00,59386328.00
2016.00,12.00,5352763.00,21421506.00
2017.00,1.00,2614144.00,13954816.00
2017.00,2.00,796219.00,5019744.00
2017.00,3.00,907101.00,7020986.00
2017.00,4.00,1320191.00,11071482.00
2017.00,5.00,2712262.00,15129700.00
2017.00,6.00,3245347.00,16007866.00
2017.00,7.00,14499932.00,55763457.00
2017.00,8.00,28545198.00,98811763.00
2017.00,9.00,18161104.00,65675910.00
2017.00,10.00,19650122.00,73295519.00
2017.00,11.00,14375004.00,54672257.00
2017.00,12.00,5155711.00,22092483.00
2018.00,1.00,2535614.00,14165069.00
2018.00,2.00,1463332.00,9402465.00
2018.00,3.00,1303437.00,12214880.00
2018.00,4.00,1631257.00,13191887.00
2018.00,5.00,2647636.00,14188482.00
2018.00,6.00,3405182.00,16178754.00
2018.00,7.00,21197660.00,77693777.00
2018.00,8.00,27035531.00,94450679.00
2018.00,9.00,19990327.00,76994985.00
2018.00,10.00,21278884.00,81620397.00
2018.00,11.00,11950761.00,48653767.00
2018.00,12.00,6881541.00,32831716.00
2019.00,1.00,1780454.00,9235319.00
2019.00,2.00,1154497.00,7573839.00
2019.00,3.00,1053309.00,8107836.00
2019.00,4.00,1231258.00,7076166.00
2019.00,5.00,2319611.00,12675814.00
2019.00,6.00,2291755.00,11871237.00
2019.00,7.00,8441771.00,37805892.00
2019.00,8.00,22165472.00,93398284.00
2019.00,9.00,18168529.00,81389830.00
2019.00,10.00,21374325.00,105172089.00
2019.00,11.00,13596197.00,70520692.00
2019.00,12.00,7147836.00,40578038.00