Year,Average,Std,Model,Area
1985,35.510262,0.2402502,CMIP5_RCP 8.5_mean,SNE
1986,40.509722,0.9200573,CMIP5_RCP 8.5_mean,SNE
1987,47.217857,2.0963268,CMIP5_RCP 8.5_mean,SNE
1988,55.707325,3.6926682,CMIP5_RCP 8.5_mean,SNE
1989,62.357183,5.5041048,CMIP5_RCP 8.5_mean,SNE
1990,64.527791,6.6342495,CMIP5_RCP 8.5_mean,SNE
1991,61.97673,6.5938257,CMIP5_RCP 8.5_mean,SNE
1992,61.679337,6.5245839,CMIP5_RCP 8.5_mean,SNE
1993,64.95729,6.8496871,CMIP5_RCP 8.5_mean,SNE
1994,73.354892,7.9570709,CMIP5_RCP 8.5_mean,SNE
1995,79.87208,9.0319722,CMIP5_RCP 8.5_mean,SNE
1996,88.360584,9.9520064,CMIP5_RCP 8.5_mean,SNE
1997,98.183321,11.008312,CMIP5_RCP 8.5_mean,SNE
1998,98.622213,11.064752,CMIP5_RCP 8.5_mean,SNE
1999,91.995166,10.7821949,CMIP5_RCP 8.5_mean,SNE
2000,76.154807,8.8085938,CMIP5_RCP 8.5_mean,SNE
2001,65.719603,7.4910772,CMIP5_RCP 8.5_mean,SNE
2002,55.236682,6.1018397,CMIP5_RCP 8.5_mean,SNE
2003,49.112377,5.292884,CMIP5_RCP 8.5_mean,SNE
2004,46.011324,4.8331672,CMIP5_RCP 8.5_mean,SNE
2005,42.916377,4.5125157,CMIP5_RCP 8.5_mean,SNE
2006,37.886556,3.9934806,CMIP5_RCP 8.5_mean,SNE
2007,34.731052,3.7241679,CMIP5_RCP 8.5_mean,SNE
2008,31.416223,3.3106371,CMIP5_RCP 8.5_mean,SNE
2009,28.293508,2.9823167,CMIP5_RCP 8.5_mean,SNE
2010,24.804035,2.6245485,CMIP5_RCP 8.5_mean,SNE
2011,22.506423,2.4028168,CMIP5_RCP 8.5_mean,SNE
2012,21.591908,2.327916,CMIP5_RCP 8.5_mean,SNE
2013,20.432285,2.2149024,CMIP5_RCP 8.5_mean,SNE
2014,19.659455,2.1291097,CMIP5_RCP 8.5_mean,SNE
2015,17.378386,1.8744183,CMIP5_RCP 8.5_mean,SNE
2016,15.83031,1.6906284,CMIP5_RCP 8.5_mean,SNE
2017,16.346942,1.8810474,CMIP5_RCP 8.5_mean,SNE
2018,17.880935,2.2675676,CMIP5_RCP 8.5_mean,SNE
2019,20.770595,2.9409035,CMIP5_RCP 8.5_mean,SNE
2020,24.4659,3.6324232,CMIP5_RCP 8.5_mean,SNE
2021,28.287559,4.295425,CMIP5_RCP 8.5_mean,SNE
2022,29.771657,4.4801841,CMIP5_RCP 8.5_mean,SNE
2023,29.14219,4.271677,CMIP5_RCP 8.5_mean,SNE
2024,28.558922,4.0435027,CMIP5_RCP 8.5_mean,SNE
2025,28.384585,3.8353459,CMIP5_RCP 8.5_mean,SNE
2026,29.097066,3.8800627,CMIP5_RCP 8.5_mean,SNE
2027,30.407067,4.0979209,CMIP5_RCP 8.5_mean,SNE
2028,31.233547,4.130471,CMIP5_RCP 8.5_mean,SNE
2029,31.267348,3.988807,CMIP5_RCP 8.5_mean,SNE
2030,30.509823,3.7439499,CMIP5_RCP 8.5_mean,SNE
2031,28.950906,3.4094408,CMIP5_RCP 8.5_mean,SNE
2032,28.274436,3.2378314,CMIP5_RCP 8.5_mean,SNE
2033,27.675334,3.1138239,CMIP5_RCP 8.5_mean,SNE
2034,26.87378,3.0204695,CMIP5_RCP 8.5_mean,SNE
2035,26.680028,2.9745366,CMIP5_RCP 8.5_mean,SNE
2036,26.920063,3.0266438,CMIP5_RCP 8.5_mean,SNE
2037,26.880074,3.0094576,CMIP5_RCP 8.5_mean,SNE
2038,26.435249,2.9442859,CMIP5_RCP 8.5_mean,SNE
2039,25.651456,2.7962007,CMIP5_RCP 8.5_mean,SNE
2040,25.263703,2.6384987,CMIP5_RCP 8.5_mean,SNE
2041,25.45418,2.6309644,CMIP5_RCP 8.5_mean,SNE
2042,25.402891,2.6247633,CMIP5_RCP 8.5_mean,SNE
2043,25.359193,2.6036049,CMIP5_RCP 8.5_mean,SNE
2044,25.001052,2.6120527,CMIP5_RCP 8.5_mean,SNE
2045,25.144381,2.6335872,CMIP5_RCP 8.5_mean,SNE
2046,25.671819,2.6987167,CMIP5_RCP 8.5_mean,SNE
2047,25.167111,2.6287391,CMIP5_RCP 8.5_mean,SNE
2048,24.515143,2.4762066,CMIP5_RCP 8.5_mean,SNE
2049,23.658371,2.328493,CMIP5_RCP 8.5_mean,SNE
2050,22.228222,2.1202995,CMIP5_RCP 8.5_mean,SNE
1985,35.520631,0.232815,CMIP5_RCP_8.5_5th,SNE
1986,40.531449,0.9147171,CMIP5_RCP_8.5_5th,SNE
1987,47.234453,2.2342551,CMIP5_RCP_8.5_5th,SNE
1988,55.771051,3.7920074,CMIP5_RCP_8.5_5th,SNE
1989,62.442054,5.5421507,CMIP5_RCP_8.5_5th,SNE
1990,64.693153,6.5538944,CMIP5_RCP_8.5_5th,SNE
1991,62.223512,6.4430745,CMIP5_RCP_8.5_5th,SNE
1992,61.954533,6.3108692,CMIP5_RCP_8.5_5th,SNE
1993,65.204523,6.6965376,CMIP5_RCP_8.5_5th,SNE
1994,73.504276,7.8658935,CMIP5_RCP_8.5_5th,SNE
1995,79.7849,8.8927031,CMIP5_RCP_8.5_5th,SNE
1996,88.188597,9.7954298,CMIP5_RCP_8.5_5th,SNE
1997,98.025525,10.9086583,CMIP5_RCP_8.5_5th,SNE
1998,98.668662,11.0842222,CMIP5_RCP_8.5_5th,SNE
1999,92.352528,11.0700502,CMIP5_RCP_8.5_5th,SNE
2000,76.656137,9.0192778,CMIP5_RCP_8.5_5th,SNE
2001,66.245058,7.541044,CMIP5_RCP_8.5_5th,SNE
2002,55.650992,6.1578921,CMIP5_RCP_8.5_5th,SNE
2003,49.463622,5.4149802,CMIP5_RCP_8.5_5th,SNE
2004,46.304328,4.9430158,CMIP5_RCP_8.5_5th,SNE
2005,43.172686,4.6673013,CMIP5_RCP_8.5_5th,SNE
2006,38.056218,4.1229011,CMIP5_RCP_8.5_5th,SNE
2007,34.911854,3.8455096,CMIP5_RCP_8.5_5th,SNE
2008,31.509448,3.4286935,CMIP5_RCP_8.5_5th,SNE
2009,28.350042,3.0801247,CMIP5_RCP_8.5_5th,SNE
2010,24.853105,2.7009213,CMIP5_RCP_8.5_5th,SNE
2011,22.54483,2.4376917,CMIP5_RCP_8.5_5th,SNE
2012,21.604936,2.4052514,CMIP5_RCP_8.5_5th,SNE
2013,20.392327,2.2913448,CMIP5_RCP_8.5_5th,SNE
2014,19.572136,2.1991606,CMIP5_RCP_8.5_5th,SNE
2015,17.284977,1.9270131,CMIP5_RCP_8.5_5th,SNE
2016,16.238822,1.8308748,CMIP5_RCP_8.5_5th,SNE
2017,17.748645,2.1437033,CMIP5_RCP_8.5_5th,SNE
2018,20.444796,2.7641441,CMIP5_RCP_8.5_5th,SNE
2019,25.667039,3.8873048,CMIP5_RCP_8.5_5th,SNE
2020,32.655861,5.0090244,CMIP5_RCP_8.5_5th,SNE
2021,40.023946,6.1541707,CMIP5_RCP_8.5_5th,SNE
2022,44.608631,6.7353317,CMIP5_RCP_8.5_5th,SNE
2023,45.34493,6.5873485,CMIP5_RCP_8.5_5th,SNE
2024,45.196816,6.2294098,CMIP5_RCP_8.5_5th,SNE
2025,44.801831,5.830379,CMIP5_RCP_8.5_5th,SNE
2026,45.842279,5.8168046,CMIP5_RCP_8.5_5th,SNE
2027,48.212335,6.0323587,CMIP5_RCP_8.5_5th,SNE
2028,49.71733,6.2667358,CMIP5_RCP_8.5_5th,SNE
2029,49.58705,6.2391821,CMIP5_RCP_8.5_5th,SNE
2030,47.114843,5.794066,CMIP5_RCP_8.5_5th,SNE
2031,43.650768,5.1838821,CMIP5_RCP_8.5_5th,SNE
2032,41.476898,4.8995882,CMIP5_RCP_8.5_5th,SNE
2033,39.389607,4.6437866,CMIP5_RCP_8.5_5th,SNE
2034,38.607428,4.5525812,CMIP5_RCP_8.5_5th,SNE
2035,38.665489,4.5800362,CMIP5_RCP_8.5_5th,SNE
2036,39.320669,4.7280759,CMIP5_RCP_8.5_5th,SNE
2037,39.722821,4.7275569,CMIP5_RCP_8.5_5th,SNE
2038,40.011325,4.639476,CMIP5_RCP_8.5_5th,SNE
2039,40.271199,4.5971981,CMIP5_RCP_8.5_5th,SNE
2040,40.081896,4.4733364,CMIP5_RCP_8.5_5th,SNE
2041,39.902416,4.3874405,CMIP5_RCP_8.5_5th,SNE
2042,38.529339,4.0855848,CMIP5_RCP_8.5_5th,SNE
2043,37.008675,3.9170077,CMIP5_RCP_8.5_5th,SNE
2044,35.342375,3.6694473,CMIP5_RCP_8.5_5th,SNE
2045,34.895148,3.5502312,CMIP5_RCP_8.5_5th,SNE
2046,34.440368,3.5119617,CMIP5_RCP_8.5_5th,SNE
2047,33.333804,3.3911116,CMIP5_RCP_8.5_5th,SNE
2048,32.855249,3.3356696,CMIP5_RCP_8.5_5th,SNE
2049,32.109515,3.1822508,CMIP5_RCP_8.5_5th,SNE
2050,31.299101,3.0721835,CMIP5_RCP_8.5_5th,SNE
1985,35.502763,0.24394903,CMIP5_RCP_8.5_95th,SNE
1986,40.4904143,0.92627727,CMIP5_RCP_8.5_95th,SNE
1987,47.1448986,2.22811865,CMIP5_RCP_8.5_95th,SNE
1988,55.6812813,3.87710278,CMIP5_RCP_8.5_95th,SNE
1989,62.3193675,5.74978583,CMIP5_RCP_8.5_95th,SNE
1990,64.5897909,6.84898183,CMIP5_RCP_8.5_95th,SNE
1991,62.0054232,6.76916712,CMIP5_RCP_8.5_95th,SNE
1992,61.6626513,6.63058831,CMIP5_RCP_8.5_95th,SNE
1993,64.8690216,7.0019057,CMIP5_RCP_8.5_95th,SNE
1994,73.0705771,8.19895078,CMIP5_RCP_8.5_95th,SNE
1995,79.2873152,9.27902874,CMIP5_RCP_8.5_95th,SNE
1996,87.6493215,10.14434364,CMIP5_RCP_8.5_95th,SNE
1997,97.2912042,11.16499378,CMIP5_RCP_8.5_95th,SNE
1998,97.8978431,11.09847526,CMIP5_RCP_8.5_95th,SNE
1999,91.7020469,10.97603059,CMIP5_RCP_8.5_95th,SNE
2000,76.0265551,9.0538488,CMIP5_RCP_8.5_95th,SNE
2001,65.6090432,7.67046287,CMIP5_RCP_8.5_95th,SNE
2002,55.0862584,6.2275384,CMIP5_RCP_8.5_95th,SNE
2003,48.9386104,5.3436821,CMIP5_RCP_8.5_95th,SNE
2004,45.813962,4.86170876,CMIP5_RCP_8.5_95th,SNE
2005,42.8123454,4.57625767,CMIP5_RCP_8.5_95th,SNE
2006,37.7647911,4.04700789,CMIP5_RCP_8.5_95th,SNE
2007,34.6930327,3.8194613,CMIP5_RCP_8.5_95th,SNE
2008,31.3729571,3.42758597,CMIP5_RCP_8.5_95th,SNE
2009,28.2637182,3.08659246,CMIP5_RCP_8.5_95th,SNE
2010,24.8128766,2.74522595,CMIP5_RCP_8.5_95th,SNE
2011,22.4989704,2.4439631,CMIP5_RCP_8.5_95th,SNE
2012,21.5283442,2.33902224,CMIP5_RCP_8.5_95th,SNE
2013,20.3279653,2.18222239,CMIP5_RCP_8.5_95th,SNE
2014,19.551487,2.10905024,CMIP5_RCP_8.5_95th,SNE
2015,18.0483934,1.93595698,CMIP5_RCP_8.5_95th,SNE
2016,17.0315511,1.82930757,CMIP5_RCP_8.5_95th,SNE
2017,15.4849391,1.76133406,CMIP5_RCP_8.5_95th,SNE
2018,13.6301037,1.61544996,CMIP5_RCP_8.5_95th,SNE
2019,12.1039785,1.53040278,CMIP5_RCP_8.5_95th,SNE
2020,10.7954318,1.44777801,CMIP5_RCP_8.5_95th,SNE
2021,9.9902025,1.39050558,CMIP5_RCP_8.5_95th,SNE
2022,9.2597168,1.32990519,CMIP5_RCP_8.5_95th,SNE
2023,7.8492306,1.13037263,CMIP5_RCP_8.5_95th,SNE
2024,6.6107579,0.94940688,CMIP5_RCP_8.5_95th,SNE
2025,5.5488626,0.78739978,CMIP5_RCP_8.5_95th,SNE
2026,4.7863457,0.68261635,CMIP5_RCP_8.5_95th,SNE
2027,3.9764156,0.5715431,CMIP5_RCP_8.5_95th,SNE
2028,3.4497195,0.4959016,CMIP5_RCP_8.5_95th,SNE
2029,3.3658461,0.51118475,CMIP5_RCP_8.5_95th,SNE
2030,3.0927025,0.48345071,CMIP5_RCP_8.5_95th,SNE
2031,2.8752269,0.45768891,CMIP5_RCP_8.5_95th,SNE
2032,2.8596936,0.47339749,CMIP5_RCP_8.5_95th,SNE
2033,2.6733074,0.46005768,CMIP5_RCP_8.5_95th,SNE
2034,2.4969427,0.44338897,CMIP5_RCP_8.5_95th,SNE
2035,2.1419483,0.3829449,CMIP5_RCP_8.5_95th,SNE
2036,1.8212048,0.32938106,CMIP5_RCP_8.5_95th,SNE
2037,1.5912936,0.29148011,CMIP5_RCP_8.5_95th,SNE
2038,1.4127193,0.26237826,CMIP5_RCP_8.5_95th,SNE
2039,1.335686,0.25328632,CMIP5_RCP_8.5_95th,SNE
2040,1.2544671,0.24530121,CMIP5_RCP_8.5_95th,SNE
2041,1.1791,0.24046873,CMIP5_RCP_8.5_95th,SNE
2042,1.1207728,0.23750694,CMIP5_RCP_8.5_95th,SNE
2043,1.046169,0.23024584,CMIP5_RCP_8.5_95th,SNE
2044,0.8940147,0.1977871,CMIP5_RCP_8.5_95th,SNE
2045,0.7585514,0.17013178,CMIP5_RCP_8.5_95th,SNE
2046,0.6361643,0.14501707,CMIP5_RCP_8.5_95th,SNE
2047,0.5425048,0.1265705,CMIP5_RCP_8.5_95th,SNE
2048,0.4547656,0.1065364,CMIP5_RCP_8.5_95th,SNE
2049,0.4096756,0.09856662,CMIP5_RCP_8.5_95th,SNE
2050,0.3597094,0.08775101,CMIP5_RCP_8.5_95th,SNE