Year,metric_tons,pounds,pounds(millions),value,value(millions),PRICEperLB,n_license_holder,n_traps,w_temp_boothbay,stDay
1940,3468,7644735,7.6447,1300000,1.3,0.17,3717,0.222,7,NA
1941,4055,8939070,8.9391,1600000,1.6,0.18,3648,0.194,7.9,NA
1942,3813,8405460,8.4055,1800000,1.8,0.21,3511,0.187,8.1,NA
1943,5203,11470410,11.4704,2900000,2.9,0.25,4239,0.209,7.4,NA
1944,6377,14059080,14.0591,4000000,4,0.28,4926,0.252,8,NA
1945,8678,19132785,19.1328,7700000,7.7,0.4,6241,0.378,8.4,NA
1946,8518,18779985,18.78,7200000,7.2,0.38,6574,0.473,8.5,NA
1947,8291,18279450,18.2795,6800000,6.8,0.37,5338,0.516,9.2,NA
1948,7224,15926715,15.9267,6400000,6.4,0.4,5345,0.439,8.2,NA
1949,8744,19276110,19.2761,6700000,6.7,0.35,5424,0.462,6.7,NA
1950,8325,18352600,18.3526,6412311,6.4123,0.35,5152,0.43,9.9,NA
1951,9416,20759500,20.7595,7214107,7.2141,0.35,4653,0.383,10.8,NA
1952,9088,20036300,20.0363,8511821,8.5118,0.42,5032,0.417,10.1,NA
1953,10115,22300300,22.3003,8411229,8.4112,0.38,5497,0.49,11.1,NA
1954,9828,21667700,21.6677,8087156,8.0872,0.37,5794,0.488,10.2,NA
1955,10305,22718100,22.7181,8716012,8.716,0.38,6051,0.532,10,NA
1956,9331,20572300,20.5723,9119807,9.1198,0.44,5892,0.533,9.2,NA
1957,11069,24402800,24.4028,8954234,8.9542,0.37,6068,0.565,9.2,NA
1958,9667,21312000,21.312,10445004,10.445,0.49,6236,0.609,8.5,NA
1959,10128,22328800,22.3288,11252686,11.2527,0.5,6488,0.717,8.3,NA
1960,10893,24014200,24.0142,10967018,10.967,0.46,6636,0.745,8.8,NA
1961,9488,20917900,20.9179,11119803,11.1198,0.53,6472,0.752,8.5,NA
1962,10013,22075300,22.0753,11195609,11.1956,0.51,5658,0.767,8.1,NA
1963,10344,22804300,22.8043,12635826,12.6358,0.55,5695,0.731,8.8,NA
1964,9489,20920697,20.9207,13878286,13.8783,0.66,5803,0.754,8.3,NA
1965,8556,18861785,18.8618,14177204,14.1772,0.75,5802,0.789,7.7,NA
1966,9034,19915816,19.9158,14904498,14.9045,0.75,5613,0.776,7.6,NA
1967,7479,16489196,16.4892,13597869,13.5979,0.82,5425,0.715,7.3,NA
1968,9299,20501732,20.5017,14931671,14.9317,0.73,5489,0.747,8.1,NA
1969,8997,19834780,19.8348,16046829,16.0468,0.81,5750,0.805,8.9,NA
1970,8243,18172269,18.1723,17201501,17.2015,0.95,6316,1.18,8.9,NA
1971,7964,17558351,17.5584,17481291,17.4813,1,6702,1.278,8.7,NA
1972,7374,16256467,16.2565,18587455,18.5875,1.14,7045,1.448,8.4,NA
1973,7731,17044194,17.0442,23269859,23.2699,1.37,7894,1.172,8.8,NA
1974,7465,16457666,16.4577,23212808,23.2128,1.41,10523,1.79,9.2,NA
1975,7491,16515588,16.5156,26520134,26.5201,1.61,10455,1.771,9.4,NA
1976,8619,19001053,19.0011,29238371,29.2384,1.54,9041,1.754,9.3,NA
1977,8386,18487138,18.4871,32101423,32.1014,1.74,8827,1.739,8.7,NA
1978,8677,19130459,19.1305,33878376,33.8784,1.77,8712,1.723,8,NA
1979,10039,22133235,22.1332,39900632,39.9006,1.8,8600,1.81,8.9,NA
1980,9973,21986894,21.9869,41729114,41.7291,1.9,9200,1.846,8,NA
1981,10266,22631614,22.6316,47236923,47.2369,2.09,8548,1.825,8.4,NA
1982,10310,22730253,22.7303,50343596,50.3436,2.21,8891,2.143,9,NA
1983,9968,21976555,21.9766,51234291,51.2343,2.33,8895,2.34,8.8,NA
1984,8866,19545682,19.5457,49298135,49.2981,2.52,8730,2.175,8.7,NA
1985,9129,20125177,20.1252,45035558,45.0356,2.24,4789,1.766,9,NA
1986,8938,19704317,19.7043,46171224,46.1712,2.34,4840,1.595,8.5,NA
1987,8957,19747766,19.7478,54548137,54.5481,2.76,5285,1.909,8.2,NA
1988,9861,21739067,21.7391,60742438,60.7424,2.79,5627,2.053,8.5,NA
1989,10600,23368719,23.3687,59552211,59.5522,2.55,6172,2.001,8.2,NA
1990,12732,28068238,28.0682,61627973,61.628,2.2,6617,2.13,9.2,190.0496061
1991,13966,30788646,30.7886,72265347,72.2653,2.35,6839,2.015,9.2,182.1708264
1992,12170,26830448,26.8304,71822699,71.8227,2.68,6063,2.012,8.9,185.2743481
1993,13574,29926464,29.9265,73863438,73.8634,2.47,5836,1.806,8.5,193.8439063
1994,17667,38948867,38.9489,100936678,100.9367,2.59,6247,2.785,9.3,188.465149
1995,16877,37208324,37.2083,101893173,101.8932,2.74,7469,2.408,9.8,184.9636412
1996,16367,36083443,36.0834,106980557,106.9806,2.96,6992,2.445,9.2,188.6929596
1997,21329,47023271,47.0233,138292438,138.2924,2.94,7118,2.587,9,188.2646092
1998,21336,47036836,47.0368,137189341,137.1893,2.92,6937,2.837,9.2,187.9843472
1999,24265,53494418,53.4944,184614071,184.6141,3.45,6794,3.051,9.9,184.2374767
2000,25953,57215406,57.2154,187714817,187.7148,3.28,6873,2.773,9.9,181.7821888
2001,22053,48617693,48.6177,153982266,153.9823,3.17,6831,2.961,10,188.0022724
2002,28860,63625745,63.6257,210950030,210.95,3.32,6799,3.085,10.6,175.3169892
2003,24934,54970948,54.9709,205715329,205.7153,3.74,6822,3.197,10.1,201.2722173
2004,32466,71574244,71.5742,289078847,289.0788,4.04,6799,3.227,10.2,190.5725908
2005,31175,68729861,68.7299,317948336,317.9483,4.63,6720,3.276,11.2,194.0457484
2006,34176,75345827,75.3458,305439420,305.4394,4.05,6614,3.283,12.5,167.2204418
2007,29019,63975958,63.976,280648419,280.6484,4.39,6498,3.264,9.3,187.5383288
2008,31710,69908504,69.9085,245150026,245.15,3.51,6295,3.16,9.8,186.8972221
2009,36820,81174638,81.1746,237536890,237.5369,2.93,6055,3.089,9.5,188.0604291
2010,43640,96208772,96.2088,318052441,318.0524,3.31,5913,3.009,10.4,168.9988135
2011,47593,104924728,104.9247,334539734,334.5397,3.19,5931,2.972,10.3,184.8180581
2012,57752,127321422,127.3214,342079520,342.0795,2.69,5934,2.962,10.6,162.8563729
2013,57973,127808436,127.8084,370383982,370.384,2.9,5793,2.922,9.5,176.8218681
2014,56393,124325923,124.3259,459508386,459.5084,3.7,5773,2.906,9.3,190.8822858
2015,55639,122663393,122.6634,502450309,502.4503,4.1,6014,2.922,8.9,188.0414887
2016,60097,132490774,132.4908,540183010,540.183,4.08,6009,2.946,10.4,165.8274803
2017,50794,111982334,111.9823,438515983,438.516,3.92,5997,2.954,9.9,186.4807488
2018,55030,121321163,121.3212,491586857,491.5869,4.05,5925,2.929,10.4,180.9841
2019,45688,100725013,100.725,485405036,485.405,4.82,5834,3.004,9.9,192.2151