Year,10th,25th,Median,75th,90th,Zone,forecast year,run
2012,20544569.24,22169134.41,23842147.49,25712911.96,27352551.21,D,2018,hindcast
2013,21496975.78,23111366.41,24917508.82,26958597.78,28659559.45,D,2018,hindcast
2014,21733913.67,23577792.58,25370605.75,27202210.91,28619096.8,D,2018,hindcast
2015,21631079.24,23204259.77,25032214.62,26748721.97,28376036.62,D,2018,hindcast
2016,21334568.76,22760056.11,24437751.41,26239863.68,28040200.59,D,2018,hindcast
2017,20193151.38,21515383.3,23220712.88,24950839.14,26457204.09,D,2018,hindcast
2018,19329952.85,20723848.35,22309774.11,24044975.87,25460040.7,D,2018,hindcast
2019,18292640.19,19598936.67,21016287.05,22509623.61,23930286.83,D,2018,forecast
2020,17116347.09,18228589.62,19562647.43,20945382.87,22104999.66,D,2018,forecast
2021,16092373.62,17016082.93,18217349.36,19348151.65,20447318.04,D,2018,forecast
2022,14830974.31,15590122.21,16634246.59,17773490.68,18489405.84,D,2018,forecast
2023,13898227.88,14574144.56,15357198.77,16173940.27,16889555.41,D,2018,forecast
2024,13053935.08,13604868.38,14276136.25,14917605.58,15454685.24,D,2018,forecast
1999,4415436.297,4678356.077,4992870.539,5369264.898,5699254.395,E,2018,hindcast
2000,4402688.66,4708880.931,5050494.718,5383256.979,5712544.33,E,2018,hindcast
2001,4297120.451,4574678.643,4866860.689,5205887.579,5469350.582,E,2018,hindcast
2002,4441845.17,4701465.493,4977812.05,5283207.326,5579401.68,E,2018,hindcast
2003,4460709.471,4723512.197,5049306.38,5326057.168,5608949.165,E,2018,hindcast
2004,4521495.158,4789360.034,5125778.953,5466975.061,5729268.973,E,2018,hindcast
2005,4706501.898,4999316.139,5357725.97,5685622.76,5978703.238,E,2018,hindcast
2006,4931204.98,5236812.921,5636814.808,6050276.322,6391363.072,E,2018,hindcast
2007,4983766.782,5382305.388,5834149.869,6231778.997,6651205.412,E,2018,hindcast
2008,5263496.372,5632921.591,6092294.851,6566301.26,7007898.609,E,2018,hindcast
2009,5396369.941,5813732.874,6282745.415,6807251.886,7259156.515,E,2018,hindcast
2010,5547943.734,5955967.401,6432959.767,6965556.687,7469615.18,E,2018,hindcast
2011,5583710.703,5988711.425,6477306.288,7020799.402,7512303.514,E,2018,hindcast
2012,5716859.303,6127426.428,6591205.21,7102679.421,7587188.012,E,2018,hindcast
2013,5755276.798,6147511.705,6671628.138,7123488.082,7549836.258,E,2018,hindcast
2014,5573251.875,5973983.641,6415339.867,6897992.191,7316926.421,E,2018,hindcast
2015,5423895.727,5831309.136,6297290.424,6718030.393,7163814.465,E,2018,hindcast
2016,5162918.291,5565155.193,5984049.531,6472637.255,6856926.177,E,2018,hindcast
2017,4950646.93,5247628.264,5662120.846,6071616.087,6464046.758,E,2018,hindcast
2018,4760311.336,5082334.245,5435629.261,5824285.123,6159880.175,E,2018,hindcast
2019,4495325.795,4785346.956,5158205.016,5493117.27,5786324.255,E,2018,forecast
2020,4262173.841,4499804.261,4788662.136,5074100.587,5312179.826,E,2018,forecast
2021,4066135.601,4263671.506,4487946.232,4715630.591,4942615.504,E,2018,forecast
2022,3850589.605,4010138.602,4184264.259,4370983.967,4550727.196,E,2018,forecast
2023,3693547.151,3822670.353,3962608.548,4116740.876,4275259.196,E,2018,forecast
2024,3523908.944,3621626.59,3735148.699,3859803.192,3972132.275,E,2018,forecast
1999,,,,,,F,2018,hindcast
2000,,,,,,F,2018,hindcast
2001,,,,,,F,2018,hindcast
2002,,,,,,F,2018,hindcast
2003,,,,,,F,2018,hindcast
2004,,,,,,F,2018,hindcast
2005,,,,,,F,2018,hindcast
2006,,,,,,F,2018,hindcast
2007,,,,,,F,2018,hindcast
2008,,,,,,F,2018,hindcast
2009,10642790.45,11094340.47,11637851.06,12168280.44,12581153.05,F,2018,hindcast
2010,11077021.5,11620985.37,12266681.78,12944306.52,13539553.83,F,2018,hindcast
2011,11275266.08,11878770.21,12589006.5,13420742.51,14124432.65,F,2018,hindcast
2012,11418801.09,12018557.26,12654799.8,13417996.17,14139331.24,F,2018,hindcast
2013,11378834.31,11904124.54,12543997.7,13151325.31,13837460.95,F,2018,hindcast
2014,11284213.12,11850369.77,12453563.86,13084285.05,13661005.63,F,2018,hindcast
2015,11421350.97,11988898.34,12667176.49,13385966.38,13963200.14,F,2018,hindcast
2016,11309952.13,11753404.31,12467855.75,13100563.22,13700933.09,F,2018,hindcast
2017,10932894.43,11301324.18,11762433.94,12225333.99,12727748.14,F,2018,hindcast
2018,10663536.42,10945838.99,11302982.95,11650646.97,12055563.21,F,2018,hindcast
2019,10258779.05,10528467.24,10820510.9,11176536.48,11509746.01,F,2018,forecast
2020,10092086.72,10254512.28,10474011.18,10720281.17,10933507.36,F,2018,forecast
2021,9959201.4,10120896.93,10313279.59,10504781.58,10675386.74,F,2018,forecast
2022,9842018.753,9972125.066,10199836.65,10417205.76,10586038.53,F,2018,forecast
2023,9799329.943,9923814.696,10057036.5,10210132.15,10351421.61,F,2018,forecast
2024,9792814.16,9869981.744,10009285.29,10161487.59,10323171.01,F,2018,forecast
1999,,,,,,G,2018,hindcast
2000,,,,,,G,2018,hindcast
2001,,,,,,G,2018,hindcast
2002,,,,,,G,2018,hindcast
2003,,,,,,G,2018,hindcast
2004,,,,,,G,2018,hindcast
2005,,,,,,G,2018,hindcast
2006,,,,,,G,2018,hindcast
2007,,,,,,G,2018,hindcast
2008,,,,,,G,2018,hindcast
2009,3498620.597,3818257.731,4122344.273,4419943.742,4720922.735,G,2018,hindcast
2010,3376427.698,3677901.372,4000451.421,4269065.086,4554761.381,G,2018,hindcast
2011,3292564.41,3600864.341,3914972.493,4240743.882,4484955.701,G,2018,hindcast
2012,3348720.997,3626037.92,3894059.918,4170328.07,4384956.761,G,2018,hindcast
2013,3439600.937,3692614.34,3973893.315,4224211.326,4469964.164,G,2018,hindcast
2014,3590164.84,3831604.355,4119385.233,4371204.032,4629407.187,G,2018,hindcast
2015,3754660.139,3991168.461,4244478.214,4488413.547,4727233.943,G,2018,hindcast
2016,4035023.975,4242273.528,4464946.64,4694603.467,4902655.475,G,2018,hindcast
2017,4268946.061,4471426.937,4689757.327,4918934.84,5087683.461,G,2018,hindcast
2018,4578335.68,4744781.987,4937287.782,5131903.418,5272719.694,G,2018,hindcast
2019,4858214.539,5023469.674,5180670.887,5349179.098,5482024.968,G,2018,forecast
2020,5116290.93,5241630.839,5385939.004,5531898.585,5653370.406,G,2018,forecast
2021,5363604.087,5472943.696,5582194.225,5693650.137,5781761.79,G,2018,forecast
2022,5544649.86,5651549.298,5736279.755,5824000.654,5894875.859,G,2018,forecast
2023,5724129.972,5794768.739,5863967.421,5933804.869,5991329.679,G,2018,forecast
2024,5877879.048,5925986.24,5977410.244,6025599.009,6063471.09,G,2018,forecast
1999,,,,,,A,2019,hindcast
2000,,,,,,A,2019,hindcast
2001,,,,,,A,2019,hindcast
2002,,,,,,A,2019,hindcast
2003,,,,,,A,2019,hindcast
2004,,,,,,A,2019,hindcast
2005,,,,,,A,2019,hindcast
2006,,,,,,A,2019,hindcast
2007,,,,,,A,2019,hindcast
2008,,,,,,A,2019,hindcast
2009,,,,,,A,2019,hindcast
2010,18660303.51,19233683.57,19904281.36,20634642.02,21250610.57,A,2019,hindcast
2011,20039129.31,20922814.78,21832762.37,22728224.16,23694409.45,A,2019,hindcast
2012,21602774.35,22693676.36,23985088.09,25217820.13,26486381.38,A,2019,hindcast
2013,23057508.85,24605487.82,26307897.23,27906132.39,29346918.17,A,2019,hindcast
2014,25224423.75,26895802.56,28681675.57,30472154.1,32122129.89,A,2019,hindcast
2015,24648532.08,26349178.07,28153744.83,29820826.24,31355839.91,A,2019,hindcast
2016,24355836.86,25507352.4,27091048.43,28692860.73,29949811,A,2019,hindcast
2017,22979284.71,24423049.83,25806868.7,27276793.05,28577677.83,A,2019,hindcast
2018,22137192.16,23341821.8,24536023.27,25875619.67,27102725.64,A,2019,hindcast
2019,21256228.46,22365377.51,23540148.74,24772855.96,25882271.76,A,2019,hindcast
2020,20225058.86,21078117.55,22158260.67,23357906.91,24327929.57,A,2019,forecast
2021,19674807.97,20342707.85,21222429.86,22060037.2,22791254.88,A,2019,forecast
2022,19142827.34,19702578.67,20359652.01,21000463.01,21626103.94,A,2019,forecast
2023,18649069.25,19166379.56,19814190.57,20468746.7,21037811.19,A,2019,forecast
2024,18463196.17,18975165.86,19577079.96,20245817.85,20899180.58,A,2019,forecast
2025,18241240.56,18764652.67,19514078.58,20171225.41,20738044.89,A,2019,forecast
1999,,,,,,B,2019,hindcast
2000,,,,,,B,2019,hindcast
2001,,,,,,B,2019,hindcast
2002,,,,,,B,2019,hindcast
2003,,,,,,B,2019,hindcast
2004,,,,,,B,2019,hindcast
2005,5706390.443,6046098.259,6481109.299,6912585.564,7352983.414,B,2019,hindcast
2006,6246293.591,6622637.368,7069228.728,7539672.32,7936753.443,B,2019,hindcast
2007,6980872.824,7365816.87,7886166.271,8428416.022,8910134.231,B,2019,hindcast
2008,7902844.214,8456195.337,9063967.684,9652632.31,10269056.4,B,2019,hindcast
2009,8858486.675,9640490.435,10410270.03,11168848.47,12016643.79,B,2019,hindcast
2010,10138837.8,10995608.2,12032809.86,13045769.76,14044508.02,B,2019,hindcast
2011,11462938.51,12579566.55,13865206.56,15165356.85,16226638.29,B,2019,hindcast
2012,12776612.45,14078180.11,15712656.08,17275098.24,18841739.83,B,2019,hindcast
2013,13800165.39,15410487.28,17253275.93,19239939.81,20698536.42,B,2019,hindcast
2014,14682070.15,16369467.33,18236992.65,20035205.67,21717540.66,B,2019,hindcast
2015,14839763.25,16564899.16,18558893.16,20319353.05,22033465.2,B,2019,hindcast
2016,14120837.04,15960622.97,17673916.63,19502645.55,21066800.06,B,2019,hindcast
2017,13517720.28,14905440.28,16497485.77,18194149.27,20029984.8,B,2019,hindcast
2018,12762620.38,14069560.5,15622764.33,17182258.7,18717188.09,B,2019,hindcast
2019,11899289.34,12987020.75,14493369.97,16073867.87,17372707.56,B,2019,hindcast
2020,10997117.3,12133406.13,13544153.87,14981228.94,16292277.12,B,2019,forecast
2021,10142379.13,11212400.42,12731045.82,13937372.01,15142563.06,B,2019,forecast
2022,9320436.106,10249214.05,11426887.38,12641256.45,13713965.57,B,2019,forecast
2023,8754045.247,9624804.723,10517234.93,11588836.06,12611660.37,B,2019,forecast
2024,8214530.478,8926856.425,9840275.292,10746737.44,11660781.91,B,2019,forecast
2025,7912308.496,8517736.513,9383124.344,10185730.44,11050417.26,B,2019,forecast
1999,,,,,,C,2019,hindcast
2000,,,,,,C,2019,hindcast
2001,,,,,,C,2019,hindcast
2002,,,,,,C,2019,hindcast
2003,,,,,,C,2019,hindcast
2004,,,,,,C,2019,hindcast
2005,,,,,,C,2019,hindcast
2006,,,,,,C,2019,hindcast
2007,,,,,,C,2019,hindcast
2008,,,,,,C,2019,hindcast
2009,12284032.89,14245715.64,16734957.25,19236716.14,21915749.96,C,2019,hindcast
2010,15613438.82,18267735.04,21065946.9,24415461.19,26770490.88,C,2019,hindcast
2011,19650830.22,22288896.65,25858702.68,29386696.78,32673527.35,C,2019,hindcast
2012,22551355.61,25907541.56,29763978.2,33877495.31,37801136.86,C,2019,hindcast
2013,25003224.82,28675378.51,33048639.79,37826683.31,41607447.09,C,2019,hindcast
2014,25921569.99,29112166.36,33629479.25,37890920.2,42929202.93,C,2019,hindcast
2015,25219647.08,28985655.95,33628135.84,38100860.44,41810906.17,C,2019,hindcast
2016,23023536.01,27262250.48,31505001.64,36435366.75,41048092.78,C,2019,hindcast
2017,21545681.13,24666910.58,28755483.96,33132258.72,37401120.73,C,2019,hindcast
2018,19193694.89,22482840.32,25996923.62,29993431.33,33491170.35,C,2019,hindcast
2019,16922716.56,19664489.54,23306475.59,26961480.56,30463578.54,C,2019,hindcast
2020,14526762.29,17115711.89,20430486.58,23373469.26,26683844.08,C,2019,forecast
2021,12344158.85,14505543.75,17189781.14,20049908.02,22346477.95,C,2019,forecast
2022,10284930.05,12283990.23,14580526.35,17017248.59,19297432.66,C,2019,forecast
2023,8080400.183,10006774.23,12102224.49,14544313.59,16975455.3,C,2019,forecast
2024,6631291.284,8605327.161,10856344.29,12901455.1,14703818.13,C,2019,forecast
2025,5531106.069,7049152.849,9189150.415,11032563.82,12951187.33,C,2019,forecast
1999,,,,,,D,2019,hindcast
2000,,,,,,D,2019,hindcast
2001,,,,,,D,2019,hindcast
2002,,,,,,D,2019,hindcast
2003,,,,,,D,2019,hindcast
2004,,,,,,D,2019,hindcast
2005,,,,,,D,2019,hindcast
2006,,,,,,D,2019,hindcast
2007,,,,,,D,2019,hindcast
2008,,,,,,D,2019,hindcast
2009,16116590.68,17550562.89,19149888.45,21093930.34,22811664.35,D,2019,hindcast
2010,17176279.72,18949664.7,20656226.96,22497023.49,24247622.03,D,2019,hindcast
2011,18445741.17,20158402.13,22257758.49,24059534.92,25867326.31,D,2019,hindcast
2012,20330241.81,21814933.67,23736293.16,25868093.4,27874310.2,D,2019,hindcast
2013,21086297.12,23049678.94,24994250.62,27213456.6,29100864.86,D,2019,hindcast
2014,21543932.88,23031712.24,25181391.06,27086892.59,29233675.23,D,2019,hindcast
2015,21378785.36,23167456.32,25068926.73,27205821.72,28961511.07,D,2019,hindcast
2016,21083837.15,22644613.53,24307250.57,26211268.43,27986596.96,D,2019,hindcast
2017,19810197.08,21240432.94,23242054.93,25114010.43,26910246.28,D,2019,hindcast
2018,19033855.47,20449344.05,22216623.37,23992739.29,25765055.39,D,2019,hindcast
2019,17863274.97,19187332.41,20786350.63,22557412.4,23892412.36,D,2019,hindcast
2020,17321914.52,18340413.43,19837353.52,21249221.99,22749081.18,D,2019,forecast
2021,15869804.76,17008770.56,18389744.74,19610185.82,20711149.7,D,2019,forecast
2022,14817519.59,15791960.48,16868570.09,18031644.65,19066203.36,D,2019,forecast
2023,13931401.23,14731755.98,15580840.46,16592921.07,17470863.08,D,2019,forecast
2024,13037827.05,13733969.41,14554163.63,15398032.66,16101885.81,D,2019,forecast
2025,12271874.88,12877948.31,13517329.62,14249122.76,14907942.11,D,2019,forecast
1999,4459177.402,4727300.876,5061478.369,5398308.008,5717003.058,E,2019,hindcast
2000,4461480.13,4750275.105,5076034.675,5382334.813,5679588.139,E,2019,hindcast
2001,4345911.155,4605485.566,4886322.811,5227047.605,5490294.44,E,2019,hindcast
2002,4446206.95,4715101.174,5001827.3,5327921.666,5622212.433,E,2019,hindcast
2003,4512740.507,4743417.335,5020587.166,5351375.903,5630714.841,E,2019,hindcast
2004,4615795.74,4850674.236,5145530.024,5476960.99,5769639.374,E,2019,hindcast
2005,4703414.844,5022493.635,5380404.168,5718335.556,5997267.508,E,2019,hindcast
2006,4965548.297,5276775.965,5678727.687,6026652.832,6454632.294,E,2019,hindcast
2007,5099024.809,5439613.17,5843761.8,6285669.669,6668124.63,E,2019,hindcast
2008,5303963.024,5645474.915,6113465.24,6541102.899,7025706.956,E,2019,hindcast
2009,5447866.101,5826636.733,6299951.773,6804290.854,7267140.648,E,2019,hindcast
2010,5593512.619,5945244.824,6440747.798,6985110.302,7430799.087,E,2019,hindcast
2011,5592323.209,6044409.319,6478316.183,6935553.131,7372123.385,E,2019,hindcast
2012,5685613.604,6120136.355,6598656.975,7126899.951,7589592.752,E,2019,hindcast
2013,5747816.897,6181766.666,6600551.158,7092299.235,7493648.716,E,2019,hindcast
2014,5550634.388,5957190.099,6404931.475,6854365.298,7306397.582,E,2019,hindcast
2015,5459270.938,5809165.156,6273076.428,6679854.708,7055310.261,E,2019,hindcast
2016,5259214.142,5601819.031,6018342.463,6427453.062,6795847.641,E,2019,hindcast
2017,4995948.381,5311431.932,5703405.352,6104091.972,6480006.912,E,2019,hindcast
2018,4756879.848,5082489.627,5420496.481,5800489.641,6129607.562,E,2019,hindcast
2019,4585687.005,4855333.01,5148087.094,5484435.836,5815745.578,E,2019,hindcast
2020,4399962.032,4646743.917,4924075.677,5207280.053,5453504.564,E,2019,forecast
2021,4215032.176,4422200.361,4635840.417,4888932.639,5090412.79,E,2019,forecast
2022,4043189.993,4187719.344,4403364.328,4587735.694,4795893.357,E,2019,forecast
2023,3870977.669,4014287.481,4187850.435,4346903.206,4500637.044,E,2019,forecast
2024,3717125.469,3847465.75,4014646.02,4164433.121,4313133.511,E,2019,forecast
2025,3562397.234,3686491.971,3830645.516,3986840.014,4137590.818,E,2019,forecast
1999,,,,,,F,2019,hindcast
2000,,,,,,F,2019,hindcast
2001,,,,,,F,2019,hindcast
2002,,,,,,F,2019,hindcast
2003,,,,,,F,2019,hindcast
2004,,,,,,F,2019,hindcast
2005,,,,,,F,2019,hindcast
2006,,,,,,F,2019,hindcast
2007,,,,,,F,2019,hindcast
2008,,,,,,F,2019,hindcast
2009,10251539.92,10738634.8,11396228.95,12203286.27,12834988.73,F,2019,hindcast
2010,10720875.53,11399704.66,12177465.27,12999178.05,13746645.83,F,2019,hindcast
2011,11024881.88,11763469.36,12772763.48,13696078.97,14848824.77,F,2019,hindcast
2012,11140318.91,11892617.82,12762236.85,13677292.27,14548743.36,F,2019,hindcast
2013,11041273.83,11627229.8,12452232.85,13305135.16,14039465.99,F,2019,hindcast
2014,11057694.47,11621372.97,12373925.84,13084156,13840142,F,2019,hindcast
2015,11049035.07,11813265.87,12697891.93,13595821.52,14509192.91,F,2019,hindcast
2016,10961587.91,11737783.12,12588768.39,13464308.49,14226946.92,F,2019,hindcast
2017,10545628.9,11028405.64,11672944.37,12281026.98,12819939.9,F,2019,hindcast
2018,10184196.73,10540673.44,10971141.69,11481315.94,11968998.9,F,2019,hindcast
2019,9772864.57,10074082.67,10497092.58,10941998.02,11317807.94,F,2019,hindcast
2020,9540427.062,9743724.897,10016569.45,10322392.05,10629004.28,F,2019,forecast
2021,9459069.868,9624039.309,9862354.703,10093663.18,10322036.9,F,2019,forecast
2022,9268447.762,9490005.246,9805330.494,10106745.07,10377532.22,F,2019,forecast
2023,9245992.156,9372531.541,9569814.354,9752250.564,9915096.253,F,2019,forecast
2024,9262469.384,9357620.005,9511166.551,9699253.225,9873400.252,F,2019,forecast
2025,9296764.283,9454450.593,9705510.493,10004649.43,10270746.88,F,2019,forecast
1999,,,,,,G,2019,hindcast
2000,,,,,,G,2019,hindcast
2001,,,,,,G,2019,hindcast
2002,,,,,,G,2019,hindcast
2003,,,,,,G,2019,hindcast
2004,,,,,,G,2019,hindcast
2005,,,,,,G,2019,hindcast
2006,,,,,,G,2019,hindcast
2007,,,,,,G,2019,hindcast
2008,,,,,,G,2019,hindcast
2009,3701873.032,3872705.952,4108530.196,4338114.749,4513610.612,G,2019,hindcast
2010,3603955.564,3784090.452,3974875.734,4189423.93,4384861.482,G,2019,hindcast
2011,3584268.337,3771190.021,3996106.335,4184525.137,4369753.721,G,2019,hindcast
2012,3592304.389,3750045.78,3936931.321,4127705.432,4314873.403,G,2019,hindcast
2013,3648599.757,3818291.791,3998200.114,4184455.427,4352098.862,G,2019,hindcast
2014,3769979.964,3929764.183,4109846.979,4274755.772,4428570.042,G,2019,hindcast
2015,3875543.591,4036145.049,4201871.78,4359960.669,4511336.565,G,2019,hindcast
2016,4039202.242,4171868.623,4336448.752,4500757.527,4632832.986,G,2019,hindcast
2017,4229149.165,4357275.939,4490152.509,4643145.489,4760766.639,G,2019,hindcast
2018,4407504.018,4533354.862,4659486.564,4784522.05,4895884.014,G,2019,hindcast
2019,4593363.59,4706405.143,4821458.922,4926246.714,5035429.316,G,2019,hindcast
2020,4766611.62,4858474.924,4960745.067,5050653.881,5125152.699,G,2019,forecast
2021,4931785.016,5006144.008,5081659.593,5161609.536,5219097.044,G,2019,forecast
2022,5081284.749,5140196.469,5195840.873,5256145.711,5315104.229,G,2019,forecast
2023,5188415.468,5235835.359,5280791.681,5324517.491,5362821.417,G,2019,forecast
2024,5285095.365,5320402.604,5353596.78,5381190.028,5407466.143,G,2019,forecast
2025,5356125.696,5377271.193,5402300.508,5425791.9,5445089.318,G,2019,forecast